marca,modelo,ano_vehic,km,combustible,puertas,cv,transmision,ubicacion,precio,idade,km_era_ausente,marca_agrupada,possivel_classico
SEAT,LEON 1. 9 TDI 150CV SPORT FORMULA RACING,2004.0,241665.0,diesel,5.0,150.0,manual,ALICANTE,3900,17.0,0,SEAT,0
AUDI,A6,2005.0,188212.0,diesel,5.0,140.0,manual,ALMERíA,5700,16.0,0,AUDI,0
MERCEDES-BENZ,CLASE E E 220 D,2017.0,114000.0,diesel,4.0,194.0,automatico,ASTURIAS,33900,4.0,0,MERCEDES-BENZ,0
OPEL,CROSSLAND X,2020.0,2553.0,gasolina,5.0,110.0,manual,CANTABRIA,14490,1.0,0,OPEL,0
RENAULT,CLIO DYNAMIQUE ENERGY DCI 90 SS ECO2,2014.0,104500.0,diesel,5.0,90.0,manual,MADRID,6900,7.0,0,RENAULT,0
CITROEN,BERLINGO TALLA M BLUEHDI 100 LIVE,2018.0,68000.0,diesel,4.0,100.0,manual,BARCELONA,12700,3.0,0,CITROEN,0
OPEL,CROSSLAND X,2020.0,10.0,gasolina,5.0,110.0,manual,CANTABRIA,15490,1.0,0,OPEL,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,2175.0,gasolina,5.0,110.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE ST,2020.0,10.0,gasolina,5.0,110.0,manual,CANTABRIA,14990,1.0,0,OPEL,0
SUZUKI,IGNIS 1. 2 GLE MILD HYBRID,2020.0,5.0,híbrido,5.0,90.0,manual,CANTABRIA,11990,1.0,0,SUZUKI,0
OPEL,CORSAE,2020.0,5.0,híbrido,5.0,136.0,automatico,CANTABRIA,23990,1.0,0,OPEL,0
OPEL,ASTRA 1. 5D DVH 90KW 122CV GS LINE,2021.0,10.0,diesel,5.0,122.0,manual,CANTABRIA,16490,0.0,0,OPEL,0
OPEL,KARL 1. 0 SELECTIVE,2016.0,95360.0,gasolina,5.0,75.0,manual,CANTABRIA,6490,5.0,0,OPEL,0
FIAT,PUNTO 1. 3 MULTIJET 16V 90 SPORT,2009.0,75000.0,diesel,5.0,90.0,manual,BARCELONA,5100,12.0,0,FIAT,0
FORD,TOURNEO COURIER 1. 5 TDCI 75CV TREND,2015.0,105000.0,diesel,5.0,75.0,manual,BARCELONA,8400,6.0,0,FORD,0
CITROEN,C4 PICASSO 1. 6 VTI 120CV SEDUCTION,2012.0,110000.0,gasolina,5.0,120.0,manual,ZARAGOZA,5900,9.0,0,CITROEN,0
AUDI,Q5 2. 0 TDI 140KW 190CV QUATTRO S TRONIC,2017.0,188000.0,diesel,5.0,190.0,automatico,ZARAGOZA,23958,4.0,0,AUDI,0
OPEL,CORSAE,2020.0,10.0,híbrido,5.0,136.0,automatico,CANTABRIA,24990,1.0,0,OPEL,0
BMW,SERIE 5 530DA XDRIVE TOURING,2013.0,207000.0,diesel,5.0,258.0,automatico,ASTURIAS,14900,8.0,0,BMW,0
CITROEN,C4 1. 6 EHDI 110CV EXCLUSIVE,2012.0,130000.0,diesel,5.0,112.0,manual,ZARAGOZA,6800,9.0,0,CITROEN,0
SSANGYONG,KORANDO D20T LINE 4X2,2014.0,110000.0,diesel,5.0,175.0,manual,BARCELONA,11800,7.0,0,OUTRAS,0
MERCEDES-BENZ,GLA GLA 200 D,2020.0,12000.0,diesel,5.0,150.0,automatico,ASTURIAS,33900,1.0,0,MERCEDES-BENZ,0
FORD,FIESTA 1. 4 TDCI TREND,2008.0,130000.0,diesel,5.0,68.0,manual,ZARAGOZA,3150,13.0,0,FORD,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,1790.0,gasolina,5.0,110.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,14665.0,gasolina,5.0,110.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,5215.0,gasolina,5.0,110.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,CROSSLAND X,2019.0,14860.0,gasolina,5.0,130.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,10587.0,gasolina,5.0,110.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,4578.0,gasolina,5.0,110.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
CITROEN,C3 AIRCROSS,2018.0,22276.0,diesel,5.0,120.0,manual,BARCELONA,15450,3.0,0,CITROEN,0
OPEL,ASTRA 1. 4T SHT 107KW 145CV ELEGANCE CVT,2019.0,15.0,gasolina,5.0,145.0,automatico,CANTABRIA,16990,2.0,0,OPEL,0
OPEL,CROSSLAND X,2019.0,6664.0,gasolina,5.0,130.0,manual,CANTABRIA,13490,2.0,0,OPEL,0
OPEL,ASTRA 1. 5D DVH 90KW 122CV GS LINE,2019.0,7582.0,diesel,5.0,122.0,manual,CANTABRIA,14990,2.0,0,OPEL,0
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,8578.0,gasolina,5.0,110.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,GRANDLAND X PHEV,2019.0,5000.0,híbrido,5.0,200.0,automatico,CANTABRIA,33990,2.0,0,OPEL,0
OPEL,ASTRA 1. 5D DVC 77KW 105CV GS LINE,2019.0,7936.0,diesel,5.0,105.0,manual,CANTABRIA,13990,2.0,0,OPEL,0
OPEL,INSIGNIA GS BUSINESS ELEGANCE 1. 5D DVH 90KW AT8,2020.0,10.0,diesel,5.0,122.0,automatico,CANTABRIA,23990,1.0,0,OPEL,0
SUZUKI,SWIFT 1. 4 T SPORT MILD HYBRID,2020.0,6715.0,híbrido,5.0,129.0,manual,CANTABRIA,16990,1.0,0,SUZUKI,0
OPEL,CORSAE,2019.0,10070.0,híbrido,5.0,136.0,automatico,CANTABRIA,20990,2.0,0,OPEL,0
OPEL,CORSAE,2020.0,5.0,híbrido,5.0,136.0,automatico,CANTABRIA,19990,1.0,0,OPEL,0
RENAULT,KADJAR ZEN ENERGY DCI 130,2016.0,49000.0,diesel,5.0,130.0,manual,ZARAGOZA,15390,5.0,0,RENAULT,0
OPEL,GRANDLAND X,2020.0,10.0,diesel,5.0,130.0,manual,CANTABRIA,19990,1.0,0,OPEL,0
SUZUKI,SCROSS 1. 4 DITC GLX 4WD MID HYBRID,2020.0,9040.0,híbrido,5.0,129.0,manual,CANTABRIA,19990,1.0,0,SUZUKI,0
OPEL,ZAFIRA LIFE,2020.0,10.0,diesel,5.0,120.0,manual,CANTABRIA,49990,1.0,0,OPEL,0
BMW,SERIE 1 116D,2015.0,34326.0,diesel,5.0,116.0,manual,MADRID,13900,6.0,0,BMW,0
NISSAN,QASHQAI 1. 6 ACENTA 4X2,2008.0,180000.0,gasolina,5.0,115.0,manual,ZARAGOZA,5900,13.0,0,NISSAN,0
